moduleCode,title,description,prereqCourseCodes,extracted_skills,extracted_apps_tools,done
ACC2706,Managerial Accounting,"This course covers major concepts, tools and techniques in managerial accounting. It provides students with an appreciation of how managerial accounting evolves with changes in the business environment and why the usefulness of managerial accounting systems depends on the organisational context. The emphasis is on the use of managerial accounting information for decision-making, planning, and controlling activities. Students are introduced to both traditional and contemporary managerial accounting concepts and techniques.","[""ACC1701"", ""ACC1701A"", ""ACC1701B"", ""ACC1701C"", ""ACC1701D"", ""ACC1701X"", ""ACC1701XA"", ""ACC1701XB"", ""ACC1701XC"", ""ACC1701XD"", ""ACC1701XE"", ""EC2204""]",Management Decision Making,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC2707,Corporate Accounting & Reporting I,"The course covers financial accounting at an intermediate level, with special reference to accounting for property, plant & equipment, investment properties, assets held for sale, intangible assets, asset impairment, changes in accounting policies and estimates, post-balance-sheet events, revenue accounting, segment reporting and interim reporting.","[""ACC1701"", ""ACC1701A"", ""ACC1701B"", ""ACC1701C"", ""ACC1701D"", ""ACC1701X"", ""ACC1701XA"", ""ACC1701XB"", ""ACC1701XC"", ""ACC1701XD"", ""ACC1701XE"", ""EC2204""]",Financial Reporting | Financial Statements Review | Accounting Standards,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC2708,Corporate Accounting & Reporting II,"The course covers financial accounting at an intermediate level, with special reference to accounting for financial instruments, deferred tax, leases, provisions, employee benefits, and share-based compensation.","[""ACC2707""]",Financial Reporting | Accounting Standards,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC2709,Accounting Information Systems,"This course aims to help students understand the role of information systems in accounting and other areas of business. In particular, it examines the innovative applications of information systems to streamline business operations and enhance competitive advantage. Students will understand various accounting/business cycles and learn about how information systems are used in different functional areas such as finance/accounting, marketing, operations and supply chain, and HR/management.","[""ACC1701"", ""ACC1701A"", ""ACC1701B"", ""ACC1701C"", ""ACC1701D"", ""ACC1701X"", ""ACC1701XA"", ""ACC1701XB"", ""ACC1701XC"", ""ACC1701XD"", ""ACC1701XE"", ""EC2204""]",Accounting Standards | Accounting and Tax Systems,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC2711,Sustainability Metrics and Performance Analysis,"In this course we examine how companies are using sustainability reporting and metrics to disclose their environmental social and governance (ESG) performance, and explore how to assess the credibility and reliability of these claims. We learn to evaluate the sustainability performance of companies based on the information provided in their reports and assess the credibility and reliability of sustainability metrics and reporting frameworks. We explore the process of analyzing sustainability reporting metrics and identify best practices for ensuring reliability of sustainability reports. Towards the end students will be equipped to make informed decisions based on sustainability metrics and performance analysis.","[""ACC1701"", ""ACC1701A"", ""ACC1701B"", ""ACC1701C"", ""ACC1701D"", ""ACC1701X"", ""ACC1701XA"", ""ACC1701XB"", ""ACC1701XC"", ""ACC1701XD"", ""ACC1701XE"", ""EC2204""]",Sustainability Assurance | Sustainability Reporting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC2712,Financial Accounting,This course builds on the foundation laid by ACC1701 Accounting for decision makers and provides a deeper understanding of the conceptual and theoretical framework for financial accounting. It is designed to provide students with a comprehensive understanding of the theoretical and practical issues pertaining to the preparation of general purpose financial statements in accordance with the prescribed accounting standards in Singapore. Students should also acquire the capacity to understand the regulatory environment in Singapore and the basics of official pronouncements of international and national accounting standard-setters such as the IASB and ACRA.,"[""ACC1701"", ""ACC1701A"", ""ACC1701B"", ""ACC1701C"", ""ACC1701D"", ""ACC1701X"", ""ACC1701XA"", ""ACC1701XB"", ""ACC1701XC"", ""ACC1701XD"", ""ACC1701XE"", ""EC2204""]",Accounting Standards | Regulatory Compliance | Financial Reporting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC2727,"Business Processes, Systems and Assurance-Foundation","This course equips students with a comprehensive understanding of the integration between the business processes and systems applied within transactional cycles and the assurance practice. Students will examine how these business processes and systems are applied across key business transaction cycles—revenue, expenditure, and production cycles. While emphasizing the importance of proper evidencing and implementation of internal controls in business processes, this course introduces assurance fundamentals - focusing on auditing principles, risk assessment, and the regulatory and governance framework in Singapore. Topics include audit planning, testing of controls, evaluating evidence, and addressing fraud risks; with practical applications in the audit of specific business cycles and their related accounts. The course also highlights the ethical responsibilities and professional conduct of auditors when in the field. By the end of the course, students should possess a strong grasp of business processes and systems, foundational knowledge and skills related to the audit of transaction cycles, and an appreciation of ethical and regulatory compliance when carrying out an audit of transactions and their associated accounts.","[""ACC1701"", ""ACC1701A"", ""ACC1701B"", ""ACC1701C"", ""ACC1701D"", ""ACC1701X"", ""ACC1701XA"", ""ACC1701XB"", ""ACC1701XC"", ""ACC1701XD"", ""ACC1701XE"", ""EC2204""]",Auditing and Assurance Standards | Transactional Accounting | Fraud Risk Management | Business Process Management | Business Process Re-engineering | Risk Assessment | Regulatory Strategy | Internal Controls,,manual
ACC3701,Assurance and Attestation,"This course provides the knowledge and understanding of the audit process required by assurance and attestation engagements. It aims to ensure students acquire the necessary attitude, skills, and knowledge for a career in auditing, in the accounting profession or in business management.","[""ACC1701"", ""ACC1701A"", ""ACC1701B"", ""ACC1701C"", ""ACC1701D"", ""ACC1701X"", ""ACC1701XA"", ""ACC1701XB"", ""ACC1701XC"", ""ACC1701XD"", ""ACC1701XE""]",Accounting Standards | Auditing and Assurance Standards,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC3702,Corporate and Securities Law,"The primary aim of this course is to develop an appreciation and understanding of the legal framework for companies. It covers the entire life-span of a company from its formation to its dissolution. It delves into the legal obligations and implications in operating a company from an insider's perspective of shareholders and directors, as well as from an outsider's perspective of creditors. A secondary objective is to introduce pertinent provisions of securities legislation.","[""BSP1702"", ""BSP1702X"", ""GESS1018"", ""RE2702"", ""RE3809"", ""IPM1102""]",Business Needs Analysis | Corporate and Business Law,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC3703,Taxation,"This course introduces students to the basic concepts of income taxation in Singapore. Since a large portion of a business organisation's profits goes towards the payment of income tax, it is absolutely crucial for students to have an understanding of how tax works and how to legally minimize it. This course is relevant to those who wish to work in the fields of accounting, consulting or financial management.","[""ACC1701"", ""ACC1701A"", ""ACC1701B"", ""ACC1701C"", ""ACC1701D"", ""ACC1701X"", ""ACC1701XA"", ""ACC1701XB"", ""ACC1701XC"", ""ACC1701XD"", ""ACC1701XE"", ""EC2204"", ""BSP1702"", ""BSP1702X"", ""LC1005""]",Accounting Standards | Financial Planning | Financial Reporting | Business Needs Analysis | Tax Computation,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC3704,Advanced Corporate Accounting and Reporting,"The course covers financial accounting at an advanced level, with a focus on business combination accounting, group accounting (subsidiaries, associates and joint arrangements), foreign currency accounting (transactions and translation) and related party disclosures.","[""ACC2708""]",Financial Reporting | Group Accounting and Consolidation,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC3705,Valuation,"This course equips students with an understanding of the various valuation issues and methodologies available to accountants and managers. It specifically discusses valuation issues pertaining to the enterprise, assets for use, and liabilities. After taking this course, the students should be able to value certain classes of assets and liabilities which are of significant interest and importance to the modern business. Coverage includes fair value and value-in-use concepts, earnings multiple analysis, discounted cash flow analysis and real option analysis.","[""FIN2704"", ""FIN2704X""]",Financial Analysis | Market Research and Analysis | Valuation,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC3706,"Governance, Risk Management and Sustainability","The course covers corporate governance from a multidisciplinary perspective including law, finance, accounting and economics. The course covers enterprise risk management in terms of the Integrated Framework issued by the Committee of Sponsoring Organizations of the Treadway Commission (COSO).","[""ACC1701"", ""ACC1701A"", ""ACC1701B"", ""ACC1701C"", ""ACC1701D"", ""ACC1701X"", ""ACC1701XA"", ""ACC1701XB"", ""ACC1701XC"", ""ACC1701XD"", ""ACC1701XE"", ""EC2204"", ""BSP1702"", ""BSP1702X""]",Corporate Governance | Enterprise Risk Management | Accounting Standards | Financial Analysis,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC3707,Integrated Perspectives in Accounting and Business,This is a capstone course that to some extent mirrors the aims of the Integrated Business Systems course in the Singapore Chartered Accountant Qualification (SCAQ) Programme. The course gives students a chance to apply their technical knowledge in different areas to a set of multi-disciplinary cases that capture complex real problems faced by accountants particularly in Singapore and the neighbouring region.,"[""ACC1701"", ""ACC1701A"", ""ACC1701B"", ""ACC1701C"", ""ACC1701D"", ""ACC1701X"", ""ACC1701XA"", ""ACC1701XB"", ""ACC1701XC"", ""ACC1701XD"", ""ACC1701XE"", ""EC2204"", ""BSP1702"", ""BSP1702X"", ""LC1005"", ""DAO1704"", ""DAO1704X"", ""DAO1704Y"", ""MKT1705"", ""MKT1705A"", ""MKT1705B"", ""MKT1705C"", ""MKT1705D"", ""MKT1705E"", ""MKT1705F"", ""MKT1705X"", ""MNO1706"", ""MNO1706A"", ""MNO1706B"", ""MNO1706C"", ""MNO1706D"", ""MNO1706E"", ""MNO1706F"", ""MNO1706G"", ""MNO1706H"", ""MNO1706X"", ""BSP1707"", ""BSP1707A"", ""BSP1707B"", ""BSP1703"", ""BSP1703X"", ""BSP2701"", ""BSE3701"", ""FIN2704"", ""FIN2704X"", ""MNO2706"", ""ES1601"", ""ES2002"", ""DAO2702"", ""DAO2702X"", ""DAO2703"", ""DAO2703A"", ""ACC2706"", ""ACC2707"", ""ACC2708"", ""ACC2709"", ""ACC2727""]",Business Needs Analysis | Accounting Standards,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC3711,Managerial Planning and Control,"The course examines various means by which control can be exercised and the types of accounting information that allow for different means of control. Topics to be covered include the nature of control, responsibility centers, economic value added, transfer pricing, strategic planning, budgeting, performance evaluation systems, executive compensation, control for differentiated strategies, control for multinational organisations. Students learn how control is exercised through case analyses, case presentations and in-class discussions. The case approach makes control ""come alive"" for the students with descriptions of control at various real organisations. The case presentations make the students think critically and strategically. The in-class discussions allow the students to evaluate the pros and cons of different approaches and solutions to control problems.","[""ACC2706""]",Strategy Planning | Transfer Pricing,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC3714,Accounting for Entrepreneurs: From Startup to Exit,"This course aims to equip students with the essential knowledge and skills to navigate the unique accounting challenges that startups and small enterprises encounter throughout their life cycles. The curriculum covers key topics, such as setting up an initial accounting structure, establishing robust internal control systems, financial planning, and performance tracking, identifying and securing funding opportunities, selling securities to the public, and understanding the legal obligations of startup firms. The course delves into accounting information systems, cash flow management, and securities regulation. By the end of this course, students will have gained an in-depth understanding of the accounting aspects crucial to startups and small enterprises.","[""ACC1701"", ""ACC1701A"", ""ACC1701B"", ""ACC1701C"", ""ACC1701D"", ""ACC1701X"", ""ACC1701XA"", ""ACC1701XB"", ""ACC1701XC"", ""ACC1701XD"", ""ACC1701XE""]",Business Opportunities Development | Cash Flow Management | Accounting Standards | Financial Planning | Financial Transactions | Finance Business Partnering | Internal Controls,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC3715,Accounting Analytics and AI,"This course focuses on descriptive analytics and visualization techniques in accounting. It explores the analysis of financial and managerial accounting data while addressing crucial aspects of data visualization and analysis. Its key components involve building a solid foundation in Python for accounting applications, implementing data visualization tools, and grasping essential features of advanced data analytics. The material includes analysing accounting data, network analysis, natural language processing, machine learning, and artificial intelligence. The final third of the course focuses on blockchain and artificial intelligence in accounting.","[""ACC2706"", ""ACC2707"", ""ACC2708""]",Financial Statements Analysis | Analytics and Computational Modelling | Accounting Standards | Big Data Analytics | Data Storytelling and Visualisation,Python,success
ACC3717,Carbon Accounting and Management,"This course provides a comprehensive understanding of carbon accounting as a critical tool for achieving decarbonization goals. Students will delve into the Greenhouse Gas (GHG) Protocol, exploring corporate, value chain, production, and project standards, as well as carbon markets and offsets. The course will cover setting targets and tracking progress, developing decarbonization strategies, and conducting scenario analysis. Additionally, students will learn about ESG ratings and data and the practical aspects of sustainability reporting and analysis. Through interactive case discussions and presentations, students will gain the knowledge and skills necessary to excel in the growing field of carbon accounting.","[""ACC1701"", ""ACC1701A"", ""ACC1701B"", ""ACC1701C"", ""ACC1701D"", ""ACC1701X"", ""ACC1701XA"", ""ACC1701XB"", ""ACC1701XC"", ""ACC1701XD"", ""ACC1701XE""]",Sustainability Reporting | Scenario Planning and Analysis | Carbon Markets and Decarbonisation Strategies Management | Greenhouse Gas Accounting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC3727,"Business Processes, Systems and Assurance - Advanced","This is an advanced-level course that builds on foundational knowledge of ACC2727 (Business Processes, Systems, and Assurance – Foundation) to prepare students for complex audit and assurance challenges in a dynamic business environment. This course explores the processes and internal controls applied in systems development and electronic commerce, and as well, examines cybersecurity concerns related to systems and electronic commerce. Students will develop an understanding of assurance practices related to the application of systems and network in transactional cycles. The other key topics include completing the audit, effective communication with stakeholders charged with governance, reporting audit opinions, and considerations for audit engagements. Students will also examine code of ethics and professional conduct at assurance levels, develop a brief understanding of the following areas – implementing a system of quality control, sustainability assurance, group audits, specialized engagements, and the emerging trends/ contemporary developments impacting the assurance practice (e.g. artificial intelligence, changes in audit standards). By the end of the course, students will be prepared to navigate the complexities of assurance at advanced levels and contribute meaningfully to the evolving landscape of business processes, systems and assurance. Successful completion of this course opens the pathway for pursing further professional qualification in accountancy, such as Singapore Chartered Accountant Qualification (SCAQ), Certified Public Accountant (Australia) [CPA(Australia)], and the Institute of Chartered Accountants in England and Wales (ICAEW).","[""ACC2727""]",Auditing and Assurance Standards | Transactional Accounting | Sustainability Assurance | Business Process Management | Cybersecurity | Internal Controls,,manual
ACC4162E,Seminars in Accounting: Risk Management Technology,"This course extends the basic concepts of enterprise risk management by focusing on the use of technology to facilitate the identification of key risk indicators and near misses. Through the use of hands-on laboratory sessions and case studies, the course will have a special emphasis on identifying key risk indicators and near misses on social media platforms such as Facebook, Twitter and blogs. The analysis of sentiments on these platforms will be used to illustrate the link of these sentiments to the identification and prediction of key risk indicators and near misses.","[""ACC3616"", ""ACC3612""]",Enterprise Risk Management | Risk Management | Risk Assessment | Risk Analytics,Facebook Ads,success
ACC4611,Advanced Taxation,"This course provides students with a foundation in tax planning. Part 1 discusses tax planning opportunities for the business entity in a local (Singapore) context, by making use of available tax incentives, different business structures, etc. Part 2 covers tax planning in an international business context, and will deal with double tax agreements, choice of foreign investment vehicles, repatriation of income and capital, tax havens, tax arbitrage, etc. Part 3 deals with tax planning for the individual operating across international boundaries.","[""ACC3605"", ""FNA3127""]",Tax Computation,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4612,Seminars in Accounting (SIA),"Depending on the expertise available in particular semesters, this course can take on different areas. For example, one stream may be ACC4612(A) Seminars in Accounting: Advanced Issues in Financial Accounting, which will cover topics such as advanced consolidation, pension accounting, extractive industries, agriculture and emerging issues. Another stream may be ACC4612(B) and deal with insolvency and liquidation accounting, plus forensic accounting. Yet a third stream may focus on accounting for non-corporate entities such as partnerships, trusts, estates and charities. A fourth possible stream is methodology and research in accounting. The particular stream offered in a specific semester will be advertised in advance.",,Accounting Standards | Financial Reporting | Fund Accounting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4612A,SIA: Internal Auditing,"Internal auditing helps the Board of Directors, Audit Committee and Management of an organisation to add value and improve on the organisation’s results and operations. It does this by reviewing and recommending processes for better governance and accountability. This includes giving assurance that polices and procedures are in place to ensure the organisation’s objectives are achieved, risks are managed, controls are complied with, and resources are used efficiently and economically. This course provides students with the knowledge, both theory and practice, of how internal audits are done to achieve these objectives.","[""ACC3603"", ""ACC3616""]",Governance | Auditing and Assurance Standards | Internal Controls,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4612D,SIA: Advanced Accounting Theory,"This course is designed to prepare accounting honours students with the necessary knowledge and skills to complete their honour theses. It is also suitable for students with an interest in gaining an understanding of important accounting issues such as earnings management, analyst and management earnings forecasts, voluntary disclosure, and accounting-based valuation.","[""ACC3615""]",Valuation | Valuation Research and Analysis,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4612E,SIA: Risk Management Technology,"Depending on the expertise available in particular semesters, this course can take on different areas. For example, one stream may be ACC4612(A) Seminars in Accounting: Advanced Issues in Financial Accounting, which will cover topics such as advanced consolidation, pension accounting, extractive industries, agriculture and emerging issues. Another stream may be ACC4612(B) and deal with insolvency and liquidation accounting, plus forensic accounting. Yet a third stream may focus on accounting for non-corporate entities such as partnerships, trusts, estates and charities. A fourth possible stream is methodology and research in accounting. The particular stream offered in a specific semester will be advertised in advance.",,Accounting Standards | Financial Reporting | Fund Accounting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4612F,Seminars in Accounting: Public Sector Audit,The course discusses the regulations and practices in external and internal audits for public sector entities in Singapore. The emphasis may vary at the instructor’s discretion.,"[""ACC3603""]",Auditing and Assurance Standards,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4612G,Seminars in Accounting: Advanced Corporate Governance,The module seeks to extend students’ understanding of corporate governance derived from ACC3611 or ACC3616 by in-depth discussion of selected topics that reflect the instructors’ interests and expertise.,"[""ACC3616"", ""ACC3611""]",Corporate Governance,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4612H,Seminars in Accounting: Advanced Risk Management,The module seeks to extend students’ understanding of risk management derived from ACC3612 or ACC3616 by in-depth discussion of selected topics that reflect the instructors’ interests and expertise.,"[""ACC3616"", ""ACC3612""]",Risk Management | Risk Analytics,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4612K,Sem. in Acctg: Accounting & Business Analysis for Banks,"This module seeks to strengthen students’ accounting knowledge and skills necessary to read and analyse the financial information of banks. The banking industry is one of the key pillars of modern economy and plays the unique role as an intermediary providing liquidity for the economy, facilitating commerce and providing credit to business enterprises and individuals.",,Capital Management | Business Negotiation,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4613,Forensic Accounting,"It is designed to broaden the career prospects of the accounting graduates in the realm of forensic accounting. This case-based syllabus includes the investigation and detection of financial crime, fraud, insurance claim, legal dispute, Insolvency, money laundering, serious tax crime, terror financing, corruption, identity theft, market manipulation, hidden assets, etc. Knowledge and skills to be taught in the module include data analytics, common modus operandi of financial crime, loss recovery, admissibility of evidence, interviewing suspects and witnesses, presentation in the court of law, and career opportunities as a forensic accountant.","[""ACC3603""]",Digital Forensics | Forensic Data Analytics,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4614,Financial Institution Audit & Compliance,"This module equips students with internal audit, risk and compliance knowledge and skills. With a slant towards internal auditing, students will learn the key risks and controls in the major banking products such as global markets, credit and lending, wealth management, as well as the major banking regulations such as anti-money laundering/countering of terrorist financing rules. Students will learn how to design internal audit programmes to assess the adequacy and effectiveness of internal controls in these areas. Topics covered include data analytics, common modus operandi of banking frauds and control lapses, internal auditing standards, and internal audit report writing.","[""ACC3616"", ""ACC3612""]",Internal Audit Function Management | Financial Transactions | Internal Controls,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4615,Advanced Assurance and Attestation,To equip students with a good understanding of the theoretical and practical knowledge/techniques for a variety of assurance and attestation work other than the statutory audit. Such work is often more complex and requires advanced methodologies.,"[""ACC3603"", ""FNA3121""]",Auditing and Assurance Standards,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4616,Accounting Theory,"Accounting theory is a body of rules and theories which governs the practice of financial accounting. Many of the rules and theories are well reasoned economic rationales and tested over time. On the other hand, the state of accounting theory also changes as new accounting and financial transactions are created in the new economy. This course seeks to examine some of the core theories that underpin financial accounting. This is essential to a proper theoretical understanding of the discipline of financial accounting.","[""ACC1002"", ""FNA1002"", ""ACC3601"", ""FNA3111""]",Financial Reporting | Financial Transactions,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4619,Advanced Independent Study in Accounting,Advanced Independent Study Courses (ISCs) are for senior students who are in the BBA(Acc) honors programs with the requisite background to work closely with an instructor on a well-defined project in the accounting area. (The courses may also be made available to students who are eligible for admission into the honors programs but choose to pursue the non-honors course of study.) Students will hone their research and report-writing skills while tackling an accounting related issue under the guidance of the instructor.,,Accounting Standards,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4629,Advanced Independent Study in Accounting,Advanced Independent Study Courses (ISCs) are for senior students who are in the BBA(Acc) honors programs with the requisite background to work closely with an instructor on a well-defined project in the accounting area. (The courses may also be made available to students who are eligible for admission into the honors programs but choose to pursue the non-honors course of study.) Students will hone their research and report-writing skills while tackling an accounting related issue under the guidance of the instructor.,,Accounting Standards,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4701,Integrated Perspectives in Accounting and Business,This is a capstone course that to some extent mirrors the aims of the Integrated Business Systems course in the Singapore Chartered Accountant Qualification (SCAQ) Programme. The course gives students a chance to apply their technical knowledge in different areas to a set of multi-disciplinary cases that capture complex real problems faced by accountants particularly in Singapore and the neighbouring region.,"[""ACC1701"", ""ACC1701A"", ""ACC1701B"", ""ACC1701C"", ""ACC1701D"", ""ACC1701X"", ""ACC1701XA"", ""ACC1701XB"", ""ACC1701XC"", ""ACC1701XD"", ""ACC1701XE"", ""BSP1702"", ""BSP1702X"", ""DAO1704"", ""DAO1704X"", ""DAO1704Y"", ""MKT1705"", ""MKT1705A"", ""MKT1705B"", ""MKT1705C"", ""MKT1705D"", ""MKT1705E"", ""MKT1705F"", ""MKT1705X"", ""MNO1706"", ""MNO1706A"", ""MNO1706B"", ""MNO1706C"", ""MNO1706D"", ""MNO1706E"", ""MNO1706F"", ""MNO1706G"", ""MNO1706H"", ""MNO1706X"", ""MNO2707"", ""MNO2707A"", ""MNO2707B"", ""MNO2707C"", ""BSP1703"", ""BSP1703X"", ""RE1707"", ""FIN2704"", ""FIN2704X"", ""ES2002"", ""DAO2702"", ""DAO2702X"", ""DAO2703"", ""DAO2703A"", ""ACC2706"", ""ACC2707"", ""ACC2708"", ""ACC2709"", ""ACC2727""]",Business Needs Analysis | Accounting Standards,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4702,Advanced Corporate Accounting and Reporting,"The course covers financial accounting at an advanced level, with a focus on business combination accounting, group accounting (subsidiaries, associates and joint arrangements), foreign currency accounting (transactions and translation) and related party disclosures.","[""ACC2708""]",Financial Reporting | Group Accounting and Consolidation,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4703,Valuation,"This course equips students with an understanding of the various valuation issues and methodologies available to accountants and managers. It specifically discusses valuation issues pertaining to the enterprise, assets for use, and liabilities. After taking this course, the students should be able to value certain classes of assets and liabilities which are of significant interest and importance to the modern business. Coverage includes fair value and value-in-use concepts, earnings multiple analysis, discounted cash flow analysis and real option analysis.","[""FIN2704"", ""FIN2704X""]",Financial Analysis | Market Research and Analysis | Valuation,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4711,Advanced Taxation,"This course provides students with a foundation in tax planning. Part 1 discusses tax planning opportunities for the business entity in a local (Singapore) context, by making use of available tax incentives, different business structures, etc. Part 2 covers tax planning in an international business context, and will deal with double tax agreements, choice of foreign investment vehicles, repatriation of income and capital, tax havens, tax arbitrage, etc. Part 3 deals with tax planning for the individual operating across international boundaries.","[""ACC3703""]",Tax Computation,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC4712,Forensic Accounting,"It is designed to broaden the career prospects of the accounting graduates in the realm of forensic accounting. This case-based syllabus includes the investigation and detection of financial crime, fraud, insurance claim, legal dispute, Insolvency, money laundering, serious tax crime, terror financing, corruption, identity theft, market manipulation, hidden assets, etc. Knowledge and skills to be taught in the course include data analytics, common modus operandi of financial crime, loss recovery, admissibility of evidence, interviewing suspects and witnesses, presentation in the court of law, and career opportunities as a forensic accountant.","[""ACC3701""]",Digital Forensics | Big Data Analytics | Forensic Data Analytics,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
